state_name,revenue
"São Paulo",5202955.05
"Rio de Janeiro",1824092.67
"Minas Gerais",1585308.03
"Rio Grande do Sul",750304.02
Paraná,683083.76
"Santa Catarina",520553.34
Bahia,511349.99
"Distrito Federal",302603.94
Goiás,294591.95
"Espírito Santo",275037.31
Pernambuco,262788.03
Ceará,227254.71
Pará,178947.81
"Mato Grosso",156453.53
Maranhão,119648.22
"Mato Grosso do Sul",116812.64
Paraíba,115268.08
Piauí,86914.08
"Rio Grande do Norte",83034.98
Alagoas,80314.81
Sergipe,58920.85
Tocantins,49621.74
Rondônia,46140.64
Amazonas,22356.84
Acre,15982.95
Amapá,13474.30
Roraima,7829.43
